Index,Frequency,Percentage,Word,Desc,Code,Translit,Len
7,12546.08,14.85, что , союз ,207328,chto,4
8,11398.44,15.99, тот , мест прил ед муж им ,4013796,tot,3
9,11223.99,17.12, быть , гл 2вид непер инф ,67848,byt',4
12,8604.72,20.07, весь , мест прил ед муж им ,4013993,ves',4
13,8043.9,20.88, это , мест прил ед ср им ,4013833,eto,3
14,7313.35,21.61, как , союз ,207144,kak,3
15,7110.8,22.32, она , мест сущ ед жен им ,46367,ona,3
18,5592.16,24.02, они , мест сущ мн им ,46391,oni,3
26,3756.63,27.75, так , нар опред спос ,205727,tak,3
27,3662.18,28.12, же , част ,207468,zhe,3
29,3535.97,28.82, сказать , гл сов пер/не инф ,65551,skazat',7
30,3396.65,29.16, этот , мест прил ед муж им ,4013821,etot,4
31,3288.8,29.49, который , мест прил ед муж им ,4014909,kotoryj,7
32,3273.98,29.82, мочь , гл несов непер инф ,61152,moch',5
35,2866.38,30.69, один , числ кол ед муж им ,4015019,odin,4
36,2786.93,30.97, еще , нар опред спос ,200200,esche,5
38,2677.36,31.51, такой , мест прил ед муж им ,4013846,takoj,5
39,2652.63,31.77, только , част ,207673,tol'ko,6
40,2552.74,32.03, себя , мест сущ род ,217289,sebja,5
41,2388.81,32.27, свой , мест прил ед муж им ,4013764,svoj,4
42,2382.57,32.51, какой , мест прил ед муж им ,4014883,kakoj,5
43,2310.89,32.74, когда , союз ,207158,kogda,5
44,2271.47,32.97, уже , нар обст врем ,206006,uzhe,4
45,2249.87,33.19, для , предл род ,4127893,dlja,4
46,2205.73,33.41, вот , част ,207394,vot,3
47,2177.45,33.63, кто , мест сущ им ,4014871,kto,3
50,2042.67,34.25, год , сущ неод ед муж им ,24411,god,3
51,2011.33,34.45, знать , гл несов пер/не инф ,60446,znat',5
52,1992.41,34.65, мой , мест прил ед муж им ,4013664,moj,3
54,1977.42,35.05, или , союз ,207135,ili,3
55,1974.42,35.25, если , союз ,207114,esli,4
56,1862.46,35.43, время , сущ неод ед ср им ,46283,vremja,6
57,1787.85,35.61, рука , сущ неод ед жен им ,17271,ruka,4
58,1751.61,35.79, нет , част ,207556,net,3
59,1744.2,35.96, самый , мест прил ед муж им ,4014042,samyj,5
61,1656.73,36.29, стать , гл сов непер инф ,96297,stat',5
63,1618.78,36.62, даже , част ,207447,dazhe,5
64,1576.73,36.78, другой , мест прил ед муж им ,4014167,drugoj,6
65,1568.9,36.93, наш , мест прил ед муж им ,4013714,nash,4
66,1531.07,37.09, свой , мест прил ед муж им ,4013764,svoj,4
68,1482.47,37.39, под , предл тв ,4127922,pod,3
69,1471.94,37.53, где , мест нар ,4013983,gde,3
70,1453.57,37.68, дело , сущ неод ед ср им ,38375,delo,4
71,1436.68,37.82, есть , гл несов перех инф ,59802,est',4
72,1423.7,37.96, сам , мест прил ед муж им ,4014017,sam,3
73,1409.69,38.11, раз , сущ неод ед муж им ,31539,raz,3
74,1408.22,38.25, чтобы , союз ,207330,chtoby,6
75,1371.55,38.38, два , числ кол им ,4015045,dva,3
76,1361.94,38.52, там , нар обст места ,205738,tam,3
77,1345.29,38.65, чем , союз ,207326,chem,4
