Index,Frequency,Percentage,Word,Desc,Code,Translit,Len,RuUpper,RuUpperLen,RuSymbols
1,36358.94,3.64,и, союз ,207131,I,1,И,1,True
2,27792.36,6.42,в, предл пр ,4127891,V,1,В,1,False
3,20689.51,8.48,не, част ,207538,NE,2,НЕ,2,False
4,18942.62,10.38,он, мест сущ ед муж им ,46361,ON,2,ОН,2,False
5,16588.14,12.04,на, предл вин ,4127906,NA,2,НА,2,False
6,15631.11,13.6,я, мест сущ ед им ,46349,JA,2,Я,1,True
7,12546.08,14.85,что, союз ,207328,CHTO,4,ЧТО,3,True
8,11398.44,15.99,тот, мест прил ед муж им ,4013796,TOT,3,ТОТ,3,False
9,11223.99,17.12,быть, гл 2вид непер инф ,67848,BYT',4,БЫТЬ,4,True
10,11150.72,18.23,с, предл тв ,4127926,S,1,С,1,False
11,9808.61,19.21,а, союз ,207024,A,1,А,1,False
12,8604.72,20.07,весь, мест прил ед муж им ,4013993,VES',4,ВЕСЬ,4,True
13,8043.9,20.88,это, мест прил ед ср им ,4013833,ETO,3,ЭТО,3,True
14,7313.35,21.61,как, союз ,207144,KAK,3,КАК,3,False
15,7110.8,22.32,она, мест сущ ед жен им ,46367,ONA,3,ОНА,3,False
16,5735.64,22.89,по, предл дат ,4127915,PO,2,ПО,2,True
17,5672.65,23.46,но, союз ,207212,NO,2,НО,2,False
18,5592.16,24.02,они, мест сущ мн им ,46391,ONI,3,ОНИ,3,True
19,5455.05,24.57,к, предл дат ,4127902,K,1,К,1,False
20,5033.86,25.07,у, предл род ,4127930,U,1,У,1,False
21,4863.63,25.56,ты, мест сущ ед им ,46355,TY,2,ТЫ,2,True
22,4787.36,26.03,из, предл род ,4127897,IZ,2,ИЗ,2,True
23,4740.29,26.51,мы, мест сущ мн им ,46379,MY,2,МЫ,2,True
24,4724.07,26.98,за, предл вин ,4127895,ZA,2,ЗА,2,False
25,3924.53,27.37,вы, мест сущ мн им ,46385,VY,2,ВЫ,2,True
26,3756.63,27.75,так, нар опред спос ,205727,TAK,3,ТАК,3,False
27,3662.18,28.12,же, част ,207468,ZHE,3,ЖЕ,2,True
28,3558.06,28.47,от, предл род ,4127911,OT,2,ОТ,2,False
29,3535.97,28.82,сказать, гл сов пер/не инф ,65551,SKAZAT',7,СКАЗАТЬ,7,True
30,3396.65,29.16,этот, мест прил ед муж им ,4013821,ETOT,4,ЭТОТ,4,True
31,3288.8,29.49,который, мест прил ед муж им ,4014909,KOTORYJ,7,КОТОРЫЙ,7,True
32,3273.98,29.82,мочь, гл несов непер инф ,61152,MOCH',5,МОЧЬ,4,True
33,2945.47,30.12,человек, сущ одуш ед муж им ,35307,CHELOVEK,8,ЧЕЛОВЕК,7,True
34,2900.17,30.41,о, предл пр ,4127910,O,1,О,1,False
35,2866.38,30.69,один, числ кол ед муж им ,4015019,ODIN,4,ОДИН,4,True
36,2786.93,30.97,еще, нар опред спос ,200200,ESCHE,5,ЕЩЕ,3,True
37,2714.09,31.24,бы, част ,207379,BY,2,БЫ,2,True
38,2677.36,31.51,такой, мест прил ед муж им ,4013846,TAKOJ,5,ТАКОЙ,5,True
39,2652.63,31.77,только, част ,207673,TOL'KO,6,ТОЛЬКО,6,True
40,2552.74,32.03,себя, мест сущ род ,217289,SEBJA,5,СЕБЯ,4,True
41,2388.81,32.27,свой, мест прил ед муж им ,4013764,SVOJ,4,СВОЙ,4,True
42,2382.57,32.51,какой, мест прил ед муж им ,4014883,KAKOJ,5,КАКОЙ,5,True
43,2310.89,32.74,когда, союз ,207158,KOGDA,5,КОГДА,5,True
44,2271.47,32.97,уже, нар обст врем ,206006,UZHE,4,УЖЕ,3,True
